kNN,Linear Regression,Neural Network,Random Forest,SVM,Tree,Magnetostriction,Composition ID,Reference DOI
24.23305054,17.73413682,19.07511424,23.94950309,19.52897987,26.18532469,23.59126819,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
24.23305054,17.73413682,19.07511424,23.94950309,19.52897987,26.18532469,23.76470588,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
16.145219,16.42545375,17.62167875,9.628681216,18.22936686,8.612450973,8.666666667,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
16.145219,16.42545375,17.62167875,9.628681216,18.22936686,8.612450973,8.558235278,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
2.59929508,14.2443153,15.28043714,2.312883654,16.06334518,2.424321044,1.764705882,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
2.59929508,14.2443153,15.28043714,2.312883654,16.06334518,2.424321044,1.679393029,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
2.59929508,12.06317685,12.95119016,2.510539582,13.8973235,2.424321044,3.529411765,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
2.59929508,12.06317685,12.95119016,2.510539582,13.8973235,2.424321044,3.423669643,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
4.368007864,7.700899953,8.67080541,4.102500848,9.565280132,4.10690168,4.431372549,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
4.368007864,7.700899953,8.67080541,4.102500848,9.565280132,4.10690168,4.303527219,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
4.368007864,5.519761503,6.915442965,4.102500848,7.39925845,4.368565844,4.392156863,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
4.368007864,5.519761503,6.915442965,4.102500848,7.39925845,4.368565844,4.344974825,1100100011,https://doi.org/10.1016/S0304-8853(00)00297-3
-0.4,-3.542981467,0.518637309,-0.308547495,-1.258380783,-0.178863213,-0.44,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
-0.4,-2.697411597,0.572092811,-0.308547495,-1.067131501,-0.178863213,-0.44,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
3.225,3.436661573,4.455490326,3.271364897,5.672888599,4.4,4.4,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
3.225,4.282231444,4.58858457,3.535253786,5.864137881,4.4,4.4,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
1.074239203,1.037409278,2.213411478,0.844332515,3.290264748,0.796989791,1.01,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
1.074239203,1.882979148,2.357034416,0.917298589,3.481514031,0.796989791,1.01,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
0.06,-1.143729172,1.061034832,0.228147058,1.124243067,-0.178863213,-0.36,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
0.06,-0.298159302,1.156700051,0.228147058,1.315492349,-0.178863213,-0.36,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
1.345,2.127978503,3.094525634,1.299070042,4.373275589,0.796989791,1.68,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
1.345,2.973548374,3.238611936,1.372036116,4.564524872,0.796989791,1.68,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
0.641739203,-0.053159947,1.518829865,0.584684276,2.207253908,0.796989791,0.48,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
0.641739203,0.792409923,1.666987737,0.65765035,2.39850319,0.796989791,0.48,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
3.225,4.091003109,5.163421646,2.426435631,6.322695103,2.05,2.05,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
3.225,4.936572979,5.293720505,2.69032452,6.513944385,2.05,2.05,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
0.125080026,-5.248929898,0.103408507,-0.079673308,-2.708886584,-0.255521767,0.345230474,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
-0.083366678,1.91523884,0.098753532,-0.029916743,-1.168265067,-0.178863213,-0.005361716,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
-0.083366678,2.78769422,0.21357444,0.076082523,-0.301856394,-0.178863213,0.060179257,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
0.542993758,-3.722132983,0.370394673,0.29754699,-1.192671407,0.505681819,0.444942382,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
-0.515464949,0.388441925,-0.084286372,-0.613438545,-2.684480244,-1.402122471,-0.584747119,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
0.14440621,4.968832671,0.85974361,0.286281402,1.864165288,0.796989791,0.196462868,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
