Linear Regression,Neural Network,kNN,Random Forest,SVM,Tree,Magnetic Saturation,Composition ID,Reference DOI
1.05960083,0.877576995,0.825777027,0.809641069,1.020702819,0.794675941,0.784983108,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
0.907867432,0.914091844,0.857984234,0.821120795,0.922504907,0.884476352,0.804763514,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.201568604,1.065158859,1.002882883,0.900665238,1.162750947,0.884476352,0.964189189,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.035858154,1.100154101,1.160292793,0.99932622,1.05052359,1.205143581,1.150810811,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.33303833,1.260306615,1.295551802,1.055785248,1.294276991,1.205143581,1.259476351,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.20413208,1.344007183,1.541233108,1.432500455,1.218876926,1.517230844,1.525304054,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.517913818,1.57810271,1.547573198,1.547620001,1.532785751,1.508382804,1.542719595,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.284759521,1.425428688,1.541233108,1.503501578,1.299546233,1.517230844,1.545929054,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.631866455,1.671528411,1.619003378,1.556247023,1.646774989,1.626857739,1.548412162,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.400482178,1.504958384,1.549994369,1.511939541,1.415289152,1.508382804,1.551587838,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.337371826,1.464198499,1.549994369,1.509097395,1.352156651,1.517230844,1.552466216,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.497833252,1.50596386,1.712747748,1.567375885,1.459122966,1.714822023,1.662989865,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.576751709,1.617613362,1.712747748,1.714643335,1.538038592,1.714822023,1.727128378,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.631072998,1.678304786,1.743203829,1.725880908,1.59240269,1.751241554,1.748125,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.704681396,1.723789305,1.761458333,1.739687898,1.666057275,1.751241554,1.754358108,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.920318604,1.899569915,1.698727477,1.739231223,1.881759987,1.773885135,1.765878378,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.809906006,1.804016554,1.767376126,1.739231223,1.77127811,1.773885135,1.781891892,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
1.366088867,1.598007997,1.560415544,1.556903585,1.435889877,1.524742015,1.66,1000100001,https://doi.org/10.1016/S1359-6454(01)00274-9
1.285247803,1.408675221,1.713333333,1.487546587,1.343637385,1.524742015,1.54,1000100011,https://doi.org/10.1016/S1359-6454(01)00274-9
1.137969971,1.17987678,1.123928986,1.176279312,1.161080941,1.167431409,0.846086957,1100100011,https://doi.org/10.1109/20.825825
1.132537842,1.168236606,1.204510958,1.205244026,1.118696927,1.16719582,1.188990826,1100100011,https://doi.org/10.1109/20.825825
